date,water_area_uncorrected,non_water_area,cloud_area,unfiltered_area,cloud_percent,QUALITY_DESCRIPTION,sat,filtered_area,corrected_areas_1,corrected_trend_1,sar_trend,days_passed,area
2020-06-01,16.053339330169678,63.18934730059677,56.87588418586476,26.94560261334456,41.7840738737139,0.0,s2,26.94560261334456,26.94560261334456,0.12198795431720785,-0.07340026143790794,5.0,26.94560261334456
2020-06-06,4.539999185546875,41.27035487946007,90.30821675162426,30.59531240999337,66.34525782178595,0.0,s2,30.59531240999337,30.59531240999337,0.7299419593297621,-0.07340026143790865,5.0,30.59531240999337
2020-06-11,0.0,0.0,,28.196426817906275,100.0,0.0,s2,28.196426817906275,28.196426817906275,-0.47977711841741877,-0.2929173856209147,5.0,28.196426817906275
2020-06-12,6.774327053318398,30.57807885755832,98.75202476594204,,72.55606909699335,0.0,l8,,,,-0.3477966666666674,1.0,27.848630151239607
2020-06-16,0.0,0.0,,25.797541225819185,100.0,0.0,s2,25.797541225819185,25.797541225819185,-0.4797771184174181,-0.34779666666666653,4.0,25.797541225819185
2020-06-21,14.402267253295898,80.43640984819542,41.27989371513996,23.39865563373209,30.32642310853317,0.0,s2,23.39865563373209,23.39865563373209,-0.47977711841741877,-0.2517276470588243,5.0,23.39865563373209
2020-06-26,12.96900470071411,36.52411428000524,86.62545183591183,23.24190628219832,63.6397012664842,0.0,s2,23.24190628219832,23.24190628219832,-0.031349870306753756,-0.10762411764705818,5.0,23.24190628219832
2020-06-28,6.2703767122235465,53.51133350411112,76.32645765254263,23.738079466097005,56.07779374862598,0.0,l8,23.738079466097005,23.738079466097005,0.2480865919493418,-0.10762411764705959,2.0,23.738079466097005
2020-07-01,0.0,0.0,,21.638381227256566,100.0,0.0,s2,21.638381227256566,21.638381227256566,-0.699899412946813,-0.10762411764705841,3.0,21.638381227256566
2020-07-06,17.825576658414477,102.84505577975062,15.447938378466098,20.03485617231481,11.348883760524059,0.0,s2,20.03485617231481,20.03485617231481,-0.3207050109883511,-0.19296754901960825,5.0,20.03485617231481
2020-07-11,17.766370118379243,85.58942138210207,32.76277931614965,20.693400172151456,24.06929423339691,0.0,s2,20.693400172151456,20.693400172151456,0.13170879996732907,-0.1929675490196079,5.0,20.693400172151456
2020-07-14,15.87258535066349,71.52230301735081,48.70982265306599,21.7646483022626,35.788491292944066,0.0,l8,21.7646483022626,21.7646483022626,0.35708271003704795,-0.13994976034858375,3.0,21.7646483022626
2020-07-16,14.35238170085461,85.85989203855328,35.90629707722333,19.39532357057567,26.378690917636515,0.0,s2,19.39532357057567,19.39532357057567,-1.1846623658434652,-0.03391418300653637,2.0,19.39532357057567
2020-07-21,4.918525959849039,11.203736060505936,119.99630879627615,,88.15572193887219,0.0,s2,,,,-0.033914183006535835,5.0,19.22575265554299
2020-07-26,10.84965857384536,84.71231208838059,40.5566001544051,18.6928189400563,29.79505288006585,0.0,s2,18.6928189400563,18.6928189400563,-0.07025046305193712,0.07164579084967322,5.0,18.6928189400563
2020-07-30,17.87425459394962,77.2432911066751,40.989693376504775,,30.1157334866492,0.0,l8,,,,0.4938856862745098,4.0,20.668361685154338
2020-07-31,0.0,0.0,,,100.0,0.0,s2,,,,0.4938856862745098,1.0,21.162247371428847
2020-08-05,0.0,0.0,,,100.0,0.0,s2,,,,0.4938856862745098,5.0,23.631675802801396
2020-08-10,0.0,0.0,,,100.0,0.0,s2,,,,0.06169122875816981,5.0,23.940131946592246
2020-08-15,0.0,0.0,,,100.0,0.0,s2,,,,-0.046357385620914474,5.0,23.708345018487673
2020-08-20,0.0,0.0,,23.22401691811326,100.0,0.0,s2,23.22401691811326,23.22401691811326,0.1812479191222785,-0.09291976470588281,5.0,23.22401691811326
2020-08-25,16.619163309322104,103.19563283190384,16.303774675405396,24.130256513724653,11.977626989170059,0.0,s2,24.130256513724653,24.130256513724653,0.1812479191222785,-0.16276333333333284,5.0,24.130256513724653
2020-08-30,4.612693470465446,25.91642825274732,105.58944909341838,22.01348453021743,77.57167038997248,0.0,s2,22.01348453021743,22.01348453021743,-0.4233543967014448,-0.16276333333333354,5.0,22.01348453021743
2020-08-31,3.505565837545477,64.47671573360108,68.1293544644787,,50.05402656878419,0.0,l8,,,,0.09867905228758289,1.0,22.112163582505012
2020-09-04,18.10707673996546,97.38256490086492,20.628929175800906,21.663904368978223,15.155117374535651,0.0,s2,21.663904368978223,21.663904368978223,-0.06991603224784129,0.09867905228758111,4.0,21.663904368978223
2020-09-09,18.83334220976372,97.21827904249646,20.06694956437085,,14.742257021933897,0.0,s2,,,,0.09867905228758218,5.0,22.157299630416134
2020-09-14,20.48141748469932,112.87864766508872,2.7585056668428627,,2.0265461577310577,0.0,s2,,,,0.19291887581699285,5.0,23.121894009501098
2020-09-16,18.98760805345244,98.19568784822414,18.930940953956128,,13.908127019831815,0.0,l8,,,,0.25574542483660245,2.0,23.633384859174303
2020-09-19,0.0,0.0,,,100.0,0.0,s2,,,,0.2557454248366007,3.0,24.400621133684105
2020-09-24,22.536621477506507,90.8223692446962,22.75958009442845,26.17792975980248,16.720407772344647,0.0,s2,26.17792975980248,26.17792975980248,0.22570126954121292,0.31665464705882373,5.0,26.17792975980248
2020-09-29,0.0,0.0,,32.474116555718105,100.0,0.0,s2,32.474116555718105,32.474116555718105,1.2592373591831247,0.560291535947713,5.0,32.474116555718105
2020-10-02,9.745348112589038,15.696791801586436,110.67643090245568,,81.30883996097107,0.0,l8,,,,0.5602915359477123,3.0,34.15499116356124
2020-10-04,0.0,0.0,,,100.0,0.0,s2,,,,0.5602915359477123,2.0,35.275574235456666
2020-10-09,0.0,0.0,,,100.0,0.0,s2,,,,0.8851976535947713,5.0,39.70156250343052
2020-10-14,0.0,0.0,,,100.0,0.0,s2,,,,0.966424183006535,5.0,44.5336834184632
2020-10-18,0.0,0.0,136.07337113335552,,101.49172052816566,1.0,l8,,,,0.9076893872549014,4.0,48.164440967482804
2020-10-19,0.1826663314208984,15.98272718598164,119.9531772992286,,88.12403522868354,0.0,s2,,,,0.7314849999999993,1.0,48.8959259674828
2020-10-24,0.0,0.0,,,100.0,0.0,s2,,,,0.7314850000000007,5.0,52.55335096748281
2020-10-29,0.0,0.0,,,100.0,0.0,s2,,,,0.7314850000000007,5.0,56.21077596748281
2020-11-03,7.659800912811279,20.93354338879325,107.52522651502665,,78.993796268899,0.0,s2,,,,0.029017148692810225,5.0,56.35586171094686
2020-11-08,31.73628494186988,42.86654831712677,61.51573755763456,,45.19275892229575,0.0,s2,,,,0.029017148692811644,5.0,56.50094745441092
2020-11-13,44.658802145450615,63.89155283828577,27.568215832894698,,20.253089396620663,0.0,s2,,,,0.029017148692810225,5.0,56.64603319787497
2020-11-18,59.36570235666481,75.08470057681397,1.6643141763347389,,1.2227290418507921,0.0,s2,,,,0.029017148692808803,5.0,56.791118941339015
2020-11-19,0.0,0.0,136.11857081663115,,100.0,2.0,l8,,,,0.029017148692808803,1.0,56.82013609003182
2020-11-23,53.56685028557703,68.63798578069786,13.91296434239757,,10.22126738797282,0.0,s2,,,,-0.011156064133986732,4.0,56.77551183349588
2020-11-28,0.0,0.0,,,100.0,0.0,s2,,,,-0.1316757026143776,5.0,56.11713332042399
2020-12-03,45.81580804136316,66.54241955529167,23.760343219976424,,17.455622019411724,0.0,s2,,,,-0.13167570261437903,5.0,55.45875480735209
2020-12-05,0.0,0.0,129.91336891085723,,101.5635582246245,1.0,l8,,,,0.027057410130716164,2.0,55.512869627613526
2020-12-08,45.34342953301438,69.41136281761037,21.363778466006384,,15.694977061422492,0.0,s2,,,,0.18579052287581752,3.0,56.07024119624098
2020-12-13,7.653286830352783,32.2969666680954,96.1683173181831,,70.6504018821457,0.0,s2,,,,0.1857905228758156,5.0,56.999193810620056
2020-12-18,54.23557629878706,76.17382770382684,5.709166814017191,57.4304694897121,4.1942600335615925,0.0,s2,57.4304694897121,57.4304694897121,0.311954411674925,0.10495780392156888,5.0,57.4304694897121
2020-12-21,0.0,0.0,136.10166834049423,,101.49140575561063,1.0,l8,,,,-0.016291274509801685,3.0,57.3815956661827
2020-12-23,0.0,0.0,,57.84580410090362,100.0,0.0,s2,57.84580410090362,57.84580410090362,0.08306692223830367,-0.016291274509804055,2.0,57.84580410090362
2020-12-28,54.69902686640817,76.54906648629945,4.870092259364337,58.26113871209514,3.5778410044663578,0.0,s2,58.26113871209514,58.26113871209514,0.08306692223830367,-0.016291274509802632,5.0,58.26113871209514
2021-01-02,28.737182909368663,57.06427521662598,50.31711269063657,,36.96564869052293,0.0,s2,,,,-0.631208235294119,5.0,55.105097535624544
2021-01-06,0.0,0.0,135.9756578949256,50.20246230424264,101.49280849329254,1.0,l8,50.20246230424264,50.20246230424264,-0.8954084897613891,-0.525733431372549,4.0,50.20246230424264
2021-01-07,42.884783258862655,79.68465976393003,13.54912779383841,48.30176342272769,9.953915701988084,0.0,s2,48.30176342272769,48.30176342272769,-1.9006988815149484,-0.20930901960784354,1.0,48.30176342272769
2021-01-12,42.76072705165716,67.5310985740856,25.82674519088845,,18.973711695577755,0.0,s2,,,,-0.20930901960784212,5.0,47.25521832468848
