date,water_area_uncorrected,non_water_area,cloud_area,unfiltered_area,cloud_percent,QUALITY_DESCRIPTION,sat,filtered_area,corrected_areas_1,corrected_trend_1,sar_trend,days_passed,area
2020-04-12,19.037265751862773,95.55469136479569,2.170920303293213,19.45371972079588,1.8592555710024496,0.0,s2,19.45371972079588,19.45371972079588,-0.0757932239050163,0.12845964052287612,5.0,19.45371972079588
2020-04-17,19.218940495743816,95.7518455072348,1.7920914169729352,19.57098099543864,1.5348126532780324,0.0,s2,19.57098099543864,19.57098099543864,0.0234522549285515,0.12845964052287542,5.0,19.57098099543864
2020-04-18,2.693144821166992,10.5395371737884,103.52775306556032,19.5000480703137,88.6668099616989,0.0,l8,19.5000480703137,19.5000480703137,-0.07093292512493932,0.12845964052287684,1.0,19.5000480703137
2020-04-22,13.959422085414152,72.66357090982174,30.139884424715817,18.81362220368808,25.812899690981496,0.0,s2,18.81362220368808,18.81362220368808,-0.17160646665640478,-0.0398933986928105,4.0,18.81362220368808
2020-04-27,0.0,0.0,104.74084812234324,19.278776748101837,100.0,0.0,s2,19.278776748101837,19.278776748101837,0.09303090888275137,-0.09601107843137272,5.0,19.278776748101837
2020-05-02,0.0,0.0,104.74084812234324,19.743931292515594,100.0,0.0,s2,19.743931292515594,19.743931292515594,0.09303090888275137,-0.07555219607843142,5.0,19.743931292515594
2020-05-04,7.278116977002432,60.64389317551053,48.75994736896677,20.748355564467005,41.788763579828235,0.0,l8,20.748355564467005,20.748355564467005,0.5022121359757055,0.006283333333334085,2.0,20.748355564467005
2020-05-07,0.0,0.0,104.74084812234324,20.20908583692935,100.0,0.0,s2,20.20908583692935,20.20908583692935,-0.1797565758458847,0.006283333333332308,3.0,20.20908583692935
2020-05-12,16.794480638026457,79.31855528845328,20.649841493472216,20.674240381343107,17.685279730819357,0.0,s2,20.674240381343107,20.674240381343107,0.09303090888275137,0.006283333333333729,5.0,20.674240381343107
2020-05-17,9.59935376403318,62.24838401231004,44.915139643608434,18.763462063987344,38.46696881412554,0.0,s2,18.763462063987344,18.763462063987344,-0.3821556634711527,0.02653666666666652,5.0,18.763462063987344
