S3A    41 20190211   3 33    0.16  0.054  32.54 ECM GIM ECM 9 9 0   810.52   1
S3A    42 20190310   3 33  999.99 99.999 999.99 N/A N/A N/A 9 9 0  9999.99   1
S3A    43 20190406   3 33  999.99 99.999 999.99 N/A N/A N/A 9 9 0  9999.99   1
S3A    44 20190503   3 33  999.99 99.999 999.99 N/A N/A N/A 9 9 0  9999.99   1
S3A    45 20190530   3 33  999.99 99.999 999.99 N/A N/A N/A 9 9 0  9999.99   1
S3A    46 20190626   3 33  999.99 99.999 999.99 N/A N/A N/A 9 9 0  9999.99   1
S3A    47 20190723   3 33  999.99 99.999 999.99 N/A N/A N/A 9 9 0  9999.99   1
S3A    48 20190819   3 33  999.99 99.999 999.99 N/A N/A N/A 9 9 0  9999.99   1
S3A    49 20190915   3 33  999.99 99.999 999.99 N/A N/A N/A 9 9 0  9999.99   1
S3A    50 20191012   3 33  999.99 99.999 999.99 N/A N/A N/A 9 9 0  9999.99   1
S3A    51 20191108   3 33  999.99 99.999 999.99 N/A N/A N/A 9 9 0  9999.99   1
S3A    52 20191205   3 33  999.99 99.999 999.99 N/A N/A N/A 9 9 0  9999.99   1
S3A    53 20200101   3 33  999.99 99.999 999.99 N/A N/A N/A 9 9 0  9999.99   1
S3A    54 20200128   3 33  999.99 99.999 999.99 N/A N/A N/A 9 9 0  9999.99   1
S3A    55 20200224   3 33  999.99 99.999 999.99 N/A N/A N/A 9 9 0  9999.99   1
S3A    56 20200322   3 33  999.99 99.999 999.99 N/A N/A N/A 9 9 0  9999.99   1
S3A    57 20200418   3 33  999.99 99.999 999.99 N/A N/A N/A 9 9 0  9999.99   1
S3A    58 20200515   3 33  999.99 99.999 999.99 N/A N/A N/A 9 9 0  9999.99   1
S3A    59 20200611   3 33  999.99 99.999 999.99 N/A N/A N/A 9 9 0  9999.99   1
S3A    60 20200708   3 33  999.99 99.999 999.99 N/A N/A N/A 9 9 0  9999.99   1
S3A    61 20200804   3 33  999.99 99.999 999.99 N/A N/A N/A 9 9 0  9999.99   1
S3A    62 20200831   3 33  -19.45  0.050  30.86 ECM GIM ECM 9 9 0   790.91   1
S3A    63 20200927   3 33  -11.26  0.060  23.00 ECM GIM ECM 9 9 0   799.10   1
S3A    64 20201024   3 33   -2.22  0.057  31.46 ECM GIM ECM 9 9 0   808.14   1
S3A    65 20201120   3 33    1.14  0.057  32.57 ECM GIM ECM 9 9 0   811.50   1
S3A    66 20201217   3 33   -1.02  0.085  23.48 ECM GIM ECM 9 9 0   809.34   1
S3A    67 20210113   3 33   -3.38  0.050  35.99 ECM GIM ECM 9 9 0   806.98   1
S3A    68 20210209   3 33   -2.86  0.055  31.79 ECM GIM ECM 9 9 0   807.50   1
S3A    69 20210308   3 33   -5.52  0.046  28.51 ECM GIM ECM 9 9 0   804.84   1
S3A    70 20210404   3 33   -9.25  0.067  25.59 ECM GIM ECM 9 9 0   801.11   1
S3A    71 20210501   3 33  -17.17  0.051  34.55 ECM GIM ECM 9 9 0   793.19   1
S3A    72 20210528   3 33  -28.97  0.075  26.06 ECM GIM ECM 9 9 0   781.39   1
S3A    73 20210624   3 33  -33.01  0.045  32.03 ECM GIM ECM 9 9 0   777.35   1
S3A    74 20210721   3 33  -33.50  0.049  28.92 ECM GIM ECM 9 9 0   776.86   1
S3A    75 20210817   3 33  -28.96  0.063  25.50 ECM GIM ECM 9 9 0   781.40   1
S3A    76 20210913   3 33  -20.55  0.066  26.01 ECM GIM ECM 9 9 0   789.81   1
S3A    77 20211010   3 33  -12.44  0.061  27.65 ECM GIM ECM 9 9 0   797.92   1
S3A    78 20211106   3 33  -11.65  0.199  17.26 ECM GIM ECM 9 9 0   798.71   1
S3A    79 20211203   3 33   -9.46  0.047  22.45 ECM GIM ECM 9 9 0   800.90   1
S3A    80 20211230   3 33  -11.90  0.114  20.65 ECM GIM ECM 9 9 0   798.46   1
S3A    81 20220126   3 33  -10.07  0.058  32.11 ECM GIM ECM 9 9 0   800.29   1
S3A    82 20220222   3 33   -9.77  0.054  26.31 ECM GIM ECM 9 9 0   800.59   1
S3A    83 20220321   3 33  -16.05  0.074  27.07 ECM GIM ECM 9 9 0   794.31   1
S3A    84 20220417   3 33  -18.01  0.068  26.75 ECM GIM ECM 9 9 0   792.35   1
S3A    85 20220514   3 33  -23.60  0.081  19.68 ECM GIM ECM 9 9 0   786.76   1
S3A    86 20220610   3 33  -24.45  0.050  27.49 ECM GIM ECM 9 9 0   785.91   1
S3A    87 20220707   3 33  -21.16  0.046  19.82 ECM GIM ECM 9 9 0   789.20   1
S3A    88 20220803   3 33  -23.10  0.053  30.96 ECM GIM ECM 9 9 0   787.26   1
S3A    89 20220830   3 33  -16.35  0.064  26.99 ECM GIM ECM 9 9 0   794.01   1
S3A    90 20220926   3 33  -14.60  0.078  19.00 ECM GIM ECM 9 9 0   795.76   2
