time,sarea
2019-01-02 11:12:37,198.9171384313726
2019-01-14 11:12:37,197.7435447058824
2019-01-26 11:12:37,198.8508196078431
2019-02-07 11:12:37,194.47654862745097
2019-02-19 11:12:37,192.4390870588236
2019-03-03 11:12:37,190.7395247058824
2019-03-15 11:12:37,190.91610862745105
2019-03-27 11:12:37,187.21978352941176
2019-04-08 11:12:37,166.5728874509804
2019-04-20 11:12:37,182.04982588235296
2019-05-02 11:12:37,177.32489725490197
2019-05-14 11:12:37,177.08755215686276
2019-05-26 11:12:37,171.69680137254903
2019-06-07 11:12:37,166.3060505882353
2019-06-19 11:12:37,168.91276156862745
2019-07-01 11:12:37,167.0688435294118
2019-07-01 11:12:41,167.0688435294118
2019-07-13 11:12:41,167.73700078431372
2019-07-25 11:12:41,176.71318705882354
2019-08-06 11:12:41,185.74085137254903
2019-08-18 11:12:41,193.29765137254904
2019-08-30 11:12:41,227.17716627450983
2019-09-11 11:12:41,236.2535035294117
2019-09-23 11:12:41,237.2563094117647
2019-10-05 11:12:41,237.26071098039216
2019-10-17 11:12:41,237.63206627450973
2019-10-29 11:12:41,237.7996023529412
2019-11-10 11:12:41,238.1926411764706
2019-11-22 11:12:41,238.42887882352937
2019-12-04 11:12:41,238.7767105882353
2019-12-16 11:12:41,237.24134901960787
2019-12-28 11:12:41,236.1576647058824
2020-01-01 22:52:34,235.35566784313727
2020-01-13 22:52:34,233.64972196078432
2020-01-25 22:52:34,230.0188231372549
2020-02-06 22:52:34,225.11530392156865
2020-02-18 22:52:34,220.234677254902
2020-03-01 22:52:34,215.37385333333333
2020-03-13 22:52:34,209.6574407843137
2020-03-25 22:52:34,204.1074741176471
2020-04-06 22:52:34,200.8786321568628
2020-04-18 22:52:34,202.8367749019608
2020-04-30 22:52:34,197.79171098039217
2020-05-12 22:52:34,194.2329454901961
2020-05-24 22:52:34,187.2292517647059
2020-06-05 22:52:34,188.16790078431373
2020-06-17 22:52:34,185.36390039215684
2020-06-29 22:52:34,184.31298392156864
2020-07-02 11:04:37,188.5082317647059
2020-07-14 11:04:37,191.7911149019608
2020-07-26 11:04:37,191.9097462745098
2020-08-07 11:04:37,192.99377764705883
2020-08-19 11:04:37,198.9860823529412
2020-08-31 11:04:37,202.62550313725487
2020-09-12 11:04:37,217.69332862745097
2020-09-24 11:04:37,225.9538949019608
2020-10-06 11:04:37,228.7336337254902
2020-10-18 11:04:37,232.1173466666667
2020-10-30 11:04:37,235.6569047058824
2020-11-11 11:04:37,236.16330470588235
2020-11-23 11:04:37,235.8691949019608
2020-12-05 11:04:37,234.7558490196078
2020-12-17 11:04:37,232.21695647058823
2020-12-29 11:04:37,229.77682392156865
2021-01-03 11:12:50,229.4283658823529
2021-01-15 11:12:50,227.26610941176472
2021-01-27 11:12:50,224.2297741176471
2021-02-08 11:12:50,222.90056549019604
2021-02-20 11:12:50,220.3097403921569
2021-03-04 11:12:50,216.07609490196083
2021-03-16 11:12:50,211.37785647058828
2021-03-28 11:12:50,206.67968
2021-04-09 11:12:50,201.44647019607845
2021-04-21 11:12:50,197.2700035294118
2021-05-03 11:12:50,197.63179137254903
2021-05-15 11:12:50,195.72223372549016
2021-05-27 11:12:50,199.9826988235294
2021-06-08 11:12:50,198.0622011764706
2021-06-20 11:12:50,197.8654058823529
2021-07-02 11:12:50,198.11278392156865
2021-07-02 11:12:53,198.11278392156865
2021-07-14 11:12:53,196.1747780392157
2021-07-26 11:12:53,194.9423152941177
2021-08-07 11:12:53,196.1787952941177
2021-08-19 11:12:53,202.08197843137253
2021-08-31 11:12:53,206.1604823529412
2021-09-12 11:12:53,215.576268627451
2021-09-24 11:12:53,222.02519294117647
2021-10-06 11:12:53,224.21046784313728
2021-10-18 11:12:53,234.0894411764706
2021-10-30 11:12:53,234.227937254902
2021-11-11 11:12:53,233.72987176470585
2021-11-23 11:12:53,206.4038411764706
2021-12-05 11:12:53,234.30678862745103
2021-12-17 11:12:53,232.9661098039216
2021-12-29 11:12:53,231.55618274509808
2022-01-02 22:52:45,231.14106784313728
2022-01-14 22:52:45,227.19444392156865
2022-01-26 22:52:45,224.11559529411767
2022-02-07 22:52:45,219.3533023529412
2022-02-19 22:52:45,215.881711372549
2022-03-03 22:52:45,211.84382745098048
2022-03-15 22:52:45,205.46488901960785
2022-03-27 22:52:45,203.58916274509804
2022-04-08 22:52:45,202.6856105882353
2022-04-20 22:52:45,196.3130643137255
2022-05-02 22:52:45,191.9453549019608
2022-05-14 22:52:45,190.57687215686275
2022-05-14 22:52:45,187.3995698039216
2022-05-26 22:52:45,181.61574156862744
2022-06-03 11:12:58,189.06218352941173
2022-06-15 11:12:58,184.8226129411765
2022-06-15 11:12:58,187.57202666666663
2022-06-27 11:12:58,188.5290556862745
2022-07-01 22:52:49,183.53596431372551
2022-07-01 22:52:49,183.5359643137255
2022-07-13 22:52:49,183.37889019607843
2022-07-13 22:52:49,190.4920098039216
2022-07-25 22:52:49,186.29988313725488
2022-07-25 22:52:49,191.3870482352941
2022-08-02 11:13:01,194.6888647058824
2022-08-06 22:52:49,199.16021148585696
2022-08-14 11:13:01,206.64974156862743
2022-08-26 11:13:01,215.9089623529412
2022-09-02 11:04:53,216.28437882352927
2022-09-02 11:04:53,213.95202666666668
2022-09-14 11:04:53,223.8562352941177
2022-09-26 11:04:53,233.2852258704849
2022-10-01 11:13:04,237.218437254902
2022-10-13 11:13:04,233.3556403921569
